code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7643,総合小売・食料品小売,ダイイチ,（株）ダイイチ,小売業,1958年7月11日,1958年度,http://www.daiichi-d.co.jp/,〒080-2470,北海道帯広市西二十条南１－１４－４７,北海道,6100_小売業,札幌証券取引所
7646,専門店・ドラッグストア,ＰＬＡＮＴ,（株）ＰＬＡＮＴ,小売業,1982年1月21日,1981年度,http://www.plant-co.jp/,〒919-0521,福井県坂井市坂井町下新庄１５－８－１,福井県,6100_小売業,東証１部
7647,専門店・ドラッグストア,音通,（株）音通,小売業,1981年8月10日,1981年度,http://www.ontsu.co.jp/,〒531-0074,大阪市北区本庄東１－１－１０ＲＩＳＥ８８,大阪府,6100_小売業,東証２部
7649,専門店・ドラッグストア,スギホールディングス,スギホールディングス（株）,小売業,1982年3月8日,1981年度,http://www.drug-sugi.co.jp/hd/,〒474-0011,愛知県大府市横根町新江６２－１,愛知県,6100_小売業,東証１部
7670,繊維・化学・製紙卸,オーウエル,オーウエル（株）,卸売業,1943年11月8日,1943年度,http://www.owell.co.jp/,〒555-0012,大阪市西淀川区御幣島５－１３－９,大阪府,6050_卸売業,東証２部
7671,インターネットサイト運営,ＡｍｉｄＡホールディングス,（株）ＡｍｉｄＡホールディングス,小売業,2000年3月9日,1999年度,https://www.amida.holdings/,〒550-0004,大阪市西区靱本町１－１１－７信濃橋三井ビルディング,大阪府,6100_小売業,東証マザーズ
7672,自動車小売,タカネットサービス,（株）タカネットサービス,卸売業,2009年6月5日,2009年度,https://takanet-s.com/,〒220-0012,横浜市西区みなとみらい４－４－２,神奈川県,6050_卸売業,東証TOKYOPROMarket
7673,建材・電気機械・金属卸,ダイコー通産,ダイコー通産（株）,卸売業,1975年6月12日,1975年度,http://www.daiko-tsusan.co.jp/,〒791-8012,愛媛県松山市姫原３－６－１１,愛媛県,6050_卸売業,東証１部
7674,飲食店,ＮＡＴＴＹＳＷＡＮＫＹ,（株）ＮＡＴＴＹＳＷＡＮＫＹ,小売業,2007年10月15日,2007年度,https://nattyswanky.com/,〒160-0023,東京都新宿区西新宿１－１９－８新東京ビル,東京都,6100_小売業,東証マザーズ
7676,自動車小売,グッドスピード,（株）グッドスピード,小売業,2006年7月4日,2006年度,https://goodspeed-group.co.jp/,〒461-0001,名古屋市東区泉２－２８－２３,愛知県,6100_小売業,東証マザーズ
7677,建材・電気機械・金属卸,ヤシマキザイ,（株）ヤシマキザイ,卸売業,1948年10月28日,1948年度,https://www.yashima-co.co.jp/ja/index.html,〒103-0026,東京都中央区日本橋兜町６－５,東京都,6050_卸売業,東証２部
7678,飲食店,あさくま,（株）あさくま,小売業,1948年12月10日,1948年度,http://www.asakuma.co.jp/,〒468-0058,名古屋市天白区植田西２－１４１０,愛知県,6100_小売業,東証JQスタンダード
7679,専門店・ドラッグストア,薬王堂ホールディングス,（株）薬王堂ホールディングス,小売業,2019年9月2日,2019年度,https://www.yakuodo.co.jp,〒028-3621,岩手県紫波郡矢巾町大字広宮沢３－４２６,岩手県,6100_小売業,東証１部
7680,自動車小売,軽自動車館,（株）軽自動車館,小売業,2007年3月16日,2006年度,http://www.keijidousyakan.com/,〒060-0005,札幌市中央区北五条西６－２－２,北海道,6100_小売業,東証TOKYOPROMarket
7681,企業向け専門サービス,レオクラン,（株）レオクラン,卸売業,2001年1月12日,2000年度,http://www.leoclan.co.jp/,〒566-0001,大阪府摂津市千里丘２－４－２６,大阪府,6050_卸売業,東証２部
7682,飲食店,浜木綿,（株）浜木綿,小売業,1968年2月13日,1967年度,http://www.hamayuu.co.jp,〒466-0815,名古屋市昭和区山手通３－１３－１,愛知県,6100_小売業,名証２部
7683,衣料品・服飾品小売,ダブルエー,（株）ダブルエー,小売業,2004年1月20日,2003年度,https://www.wa-jp.com,〒150-0013,東京都渋谷区恵比寿１－２０－１８,東京都,6100_小売業,東証マザーズ
